Year,FIPS,State,Life Expectancy,95% CI - Low,95% CI - High,Median Household Income,% Low Birthweight,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,% Adults Reporting Currently Smoking,% Adults with Obesity,Food Environment Index,% Physically Inactive,% Excessive Drinking,Chlamydia Rate,Teen Birth Rate,Drug Overdose Mortality Rate,% Uninsured Adults,% Uninsured Children,Preventable Hospitalization Rate,% With Annual Mammogram,% Vaccinated,% Some College,% Unemployed,% Disconnected Youth,% Children in Poverty,Income Ratio,% Children in Single-Parent Households,Residential segregation - Black/White,Homicide Rate,Firearm Fatalities Rates,Social Association Rate,Injury Death Rate,% Long Commute - Drives Alone,% Not Proficient in English,% Rural
2017,1000,Alabama,75.41303499,75.32973272,75.49633727,48193,10.14549259,15.82663382,14.2,309.9,20.92735311,35.5,5.8,29.8,13.90351529,614.1,33.11347994,15.941603,14.08970991,3.032001518,5805,40,41,59.86474992,4.396785166,8.33140566,24.4,5.238579235,38.10461622,56.99891266,9.4,19.8,12.3719241,79.908979,33.7,1.074845655,40.9631829
2017,2000,Alaska,78.48687881,78.22436786,78.74938976,74058,5.886556498,11.89523462,7.9,114.3,21.00785366,32.5,6.3,20,21.29393789,802.1,29.53221612,17.881908,17.10062311,9.101734213,2904,35,35,65.54229816,7.160695286,9.633407204,14.5,4.03099463,29.75425988,51.42837143,6.8,22.3,11.3544969,90.520411,16,1.758590556,33.98021207
2017,4000,Arizona,79.92711735,79.85258388,80.00165083,56508,7.114685535,12.50655324,9.7,273.1,15.55500301,27.5,6.6,21.8,16.70870284,564.4,29.99796872,20.158451,13.99226919,7.691470587,3096,41,44,63.09454933,4.869531723,8.729810665,21,4.646712894,35.71801798,45.97720943,5.7,14.8,5.6639782,80.773987,35,4.964103809,10.19017941
2017,5000,Arkansas,75.83033715,75.72468415,75.93599016,45916,8.953319154,18.31754545,13.4,222.3,22.28625875,34.2,5.2,31.6,15.80533385,576.5,40.65601251,13.811583,11.35859316,4.338232761,5129,37,45,57.33309676,3.679836842,9.036837826,22.5,4.786302698,35.74456894,64.60734942,7.7,17.9,12.1426805,80.589546,26.4,1.588385107,43.83967588
2017,6000,California,81.49660497,81.46593126,81.52727867,71785,6.78845182,10.79960925,8.6,385.1,11.33626274,23.6,8.9,17.6,19.2207998,553.4,21.67181254,12.024778,10.1380749,3.133188756,3598,36,41,64.22137825,4.758103269,6.995326542,18.1,5.254962639,31.44361281,55.72813794,5,7.9,5.8796075,48.932029,40.3,10.04381503,5.047383424
2017,8000,Colorado,80.45991829,80.3797176,80.54011898,69113,8.874938105,11.75874658,6.3,264.2,14.62950476,21.8,8.4,15.5,20.46852033,481.4,21.53939155,17.019715,10.23857264,4.517665874,2833,41,48,71.43266246,2.835170322,6.297745078,12.2,4.432778265,27.58461397,62.7956892,3.8,13.1,8.7513202,75.685386,34.7,3.069399124,13.84783969
2017,9000,Connecticut,80.83613463,80.74207179,80.93019747,74428,7.834893489,10.08980228,8.9,335.1,12.73098058,25.8,8.5,20.4,17.11073048,494.7,12.06874469,26.432934,7.474604016,2.910454756,4117,48,53,68.65694903,4.676332864,4.935997425,13,5.010042945,31.715073,62.62636108,3.2,5,9.4894799,64.94216,33.4,3.758864416,12.00736857
2017,10000,Delaware,78.55238793,78.36088281,78.74389304,64085,8.644426278,14.28087773,11.5,395.7,17.03005972,30.9,8.1,27.7,16.8261389,560.5,22.28178845,28.602019,7.267051635,2.870894918,5045,48,54,62.19380694,4.592437415,6.277239584,17.7,4.41191889,36.75175163,42.53243894,6.3,11.4,10.3125042,72.07759,34.2,2.078113569,16.70334345
2017,11000,District of Columbia,78.41545584,78.15446712,78.67644455,80153,9.991573372,10.83328486,8.1,2459.9,15.96559215,23.5,8.6,18.4,27.3130182,1312.3,0,34.385578,5.183141016,1.060746854,5520,35,38,80.7261284,6.051724396,8.517508386,26.2,7.29201267,52.83792342,69.28971124,16.2,14.4,28.7475575,72.389158,47.3,2.4798659,0
2017,12000,Florida,80.02305804,79.98012258,80.06599349,52582,8.651368978,12.88553843,10.6,610.8,16.09237241,26.6,6.9,25.9,17.12921818,476.6,23.25921937,21.08356,19.01126234,7.225790872,5086,43,43,62.31001288,4.152820499,7.65619789,20.6,4.679671458,38.11169576,54.44815625,5.9,12.7,7.0947942,75.600408,40.4,6.555147489,8.836969339
